launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
298.776242, -844.948869, -3543.797397, 299.279883, -838.505865, -3580.337488, 0.503640, 37.103781
259.885133, -1827.667450, -1648.792990, 260.367455, -1819.057233, -1697.623960, 0.482321, 49.584267
281.858094, -2473.211069, -2257.757114, 282.824607, -2460.726164, -2328.562533, 0.966512, 71.897707
281.858094, -2015.647747, -2482.236254, 282.583751, -2003.408947, -2551.645937, 0.725656, 70.480440
293.746817, -1843.589551, -1636.946185, 294.150801, -1838.127244, -1667.924466, 0.403984, 31.456171
285.119882, 2403.547711, -3922.135123, 285.886609, 2412.287093, -3971.698619, 0.766727, 50.328093
249.375954, 2452.764395, -3843.876489, 250.691814, 2464.377098, -3909.735402, 1.315860, 66.874893
258.131898, 2662.858636, -4105.577091, 258.828885, 2672.882632, -4162.425997, 0.696987, 57.725892
261.139280, 2604.550894, -3878.034385, 261.896147, 2617.782281, -3953.073312, 0.756867, 76.196524
272.284876, 2461.551070, -4131.195448, 272.976395, 2471.646877, -4188.451616, 0.691518, 58.139437
272.284876, 2628.285014, -4214.012713, 272.965481, 2638.728836, -4273.242576, 0.680605, 60.143579
272.284876, 2628.285014, -4214.012713, 272.823893, 2634.416395, -4248.785504, 0.539016, 35.309217
276.781116, 2560.067584, -3834.311213, 278.096976, 2571.764403, -3900.647169, 1.315860, 67.359296
281.339212, 2716.187802, -4185.570484, 282.583274, 2727.820150, -4251.540809, 1.244062, 66.988024
286.119589, 2350.490579, -4046.235622, 286.765375, 2356.123170, -4078.179633, 0.645787, 32.436798
289.652205, 2585.472831, -4267.257467, 290.858527, 2598.388015, -4340.503115, 1.206321, 74.375581
298.158391, 2745.015859, -4117.541870, 299.104860, 2757.492607, -4188.301026, 0.946469, 71.850730
248.194315, 5961.949062, -1372.662341, 248.767641, 5968.650254, -1410.666694, 0.573326, 38.590631
296.645513, 6027.611538, -1280.177606, 297.240530, 6034.284829, -1318.023717, 0.595017, 38.429948
240.000000, 5439.507916, -1506.910545, 240.584200, 5445.145244, -1538.881419, 0.584200, 32.464075
285.308474, 5450.474112, -1521.972231, 285.870982, 5458.343588, -1566.602246, 0.562508, 45.318505
294.243845, 2448.467135, -3320.126517, 295.210357, 2460.667089, -3389.315894, 0.966512, 70.256735
261.888396, 2437.411972, -4085.460292, 262.988863, 2447.931937, -4145.121980, 1.100467, 60.582066
294.389163, 2521.227880, -4073.930060, 295.103255, 2529.996162, -4123.657457, 0.714091, 50.494522
284.931276, 2476.837000, -4108.821885, 286.101699, 2499.021731, -4234.637748, 1.170422, 127.756776
242.281164, 2471.222970, -4127.124812, 243.417529, 2485.386173, -4207.448325, 1.136366, 81.562632
249.024380, 2499.757404, -4141.728775, 249.942486, 2511.847515, -4210.295203, 0.918106, 69.624176
296.409429, 2604.807462, -4224.403145, 297.229496, 2615.749147, -4286.456523, 0.820068, 63.010651
296.409429, 2558.251248, -4125.735463, 297.581693, 2572.576871, -4206.980113, 1.172265, 82.497979
328.058424, 6090.774633, -976.263192, 329.302487, 6147.170476, -1036.740329, 1.244062, 82.692050
339.892554, 6157.784581, -1285.806263, 340.642362, 6200.950796, -1332.096362, 0.749808, 63.293723
339.892554, 6145.621867, -1128.388575, 340.506415, 6176.272438, -1161.257288, 0.613861, 44.942294
358.464832, 5958.450191, -1501.208494, 359.110619, 5990.102481, -1535.151420, 0.645787, 46.411095
358.464832, 6123.241478, -1463.239794, 359.034571, 6149.991214, -1491.925373, 0.569739, 39.222581
341.781403, 4735.605199, -2647.184683, 342.435381, 4766.765394, -2680.599901, 0.653977, 45.689545
341.781403, 4706.743975, -1938.857196, 342.569870, 4767.072913, -2003.552062, 0.788467, 88.459067
300.000000, 3093.922513, -2985.373097, 300.519125, 3118.013919, -3011.207967, 0.519125, 35.324727
304.645007, 2986.354179, -2786.739547, 305.386074, 3029.656907, -2833.176038, 0.741067, 63.493888
304.645007, 2871.051173, -2686.478001, 305.227170, 2902.698082, -2720.415156, 0.582163, 46.403204
313.834481, 2886.399594, -3461.016865, 314.525999, 2927.327682, -3504.906866, 0.691518, 60.012004
313.834481, 3016.907096, -3270.161948, 314.299822, 3040.627486, -3295.598952, 0.465342, 34.780714
313.834481, 2976.297913, -3172.936144, 314.425911, 3004.147761, -3202.801449, 0.591430, 40.835651
313.834481, 3025.676466, -3128.243249, 314.368067, 3050.357000, -3154.709881, 0.533586, 36.188553
313.834481, 2539.128861, -2591.096292, 314.749349, 2584.359892, -2639.600635, 0.914869, 66.321320
325.306888, 2440.944414, -3332.365319, 326.809432, 2655.046582, -3561.961785, 1.502544, 313.933553
